[INFO ] 2019-12-09 09:33:11,948 [main] Logback logging API implementation is configured.
[INFO ] 2019-12-09 09:33:12,338 [main] Mapped URL path [/system/info/overview.view] onto handler 'commonWebappSystemInfoController'
[INFO ] 2019-12-09 09:33:12,338 [main] Mapped URL path [/system/info/debug.view] onto handler 'filenameViewController'
[INFO ] 2019-12-09 09:33:12,350 [main] Mapped URL path [/system/logging/overview.view] onto handler 'commonWebappLoggingOverviewController'
[INFO ] 2019-12-09 09:33:12,361 [main] Mapped URL path [/system/overview.view] onto handler 'commonWebappSystemOverviewController'
[INFO ] 2019-12-09 09:33:13,128 [main] Mapped URL path [/protocol] onto handler 'rdf4jProtocolController'
[INFO ] 2019-12-09 09:33:13,191 [main] Mapped URL path [/repositories] onto handler 'rdf4jRepositoryListController'
[INFO ] 2019-12-09 09:33:13,226 [main] Mapped URL path [/repositories/*] onto handler 'rdf4jRepositoryController'
[INFO ] 2019-12-09 09:33:13,231 [main] Mapped URL path [/repositories/*/transactions/*] onto handler 'rdf4jRepositoryTransactionController'
[INFO ] 2019-12-09 09:33:13,231 [main] Mapped URL path [/repositories/*/namespaces] onto handler 'rdf4jRepositoryNamespacesController'
[INFO ] 2019-12-09 09:33:13,232 [main] Mapped URL path [/repositories/*/contexts] onto handler 'rdf4jRepositoryContextsController'
[INFO ] 2019-12-09 09:33:13,239 [main] Mapped URL path [/repositories/*/transactions] onto handler 'rdf4jRepositoryTransactionStartController'
[INFO ] 2019-12-09 09:33:13,242 [main] Mapped URL path [/repositories/*/rdf-graphs/*] onto handler 'rdf4jRepositoryGraphController'
[INFO ] 2019-12-09 09:33:13,243 [main] Mapped URL path [/repositories/*/size] onto handler 'rdf4jRepositorySizeController'
[INFO ] 2019-12-09 09:33:13,243 [main] Mapped URL path [/repositories/*/namespaces/*] onto handler 'rdf4jRepositoryNamespaceController'
[INFO ] 2019-12-09 09:33:13,243 [main] Mapped URL path [/repositories/*/rdf-graphs] onto handler 'rdf4jRepositoryContextsController'
[INFO ] 2019-12-09 09:33:13,245 [main] Mapped URL path [/repositories/*/statements] onto handler 'rdf4jRepositoryStatementsController'
[INFO ] 2019-12-09 09:33:13,246 [main] Mapped URL path [/home/overview.view] onto handler 'filenameViewController'
[INFO ] 2019-12-09 09:33:13,246 [main] Mapped URL path [/overview.view] onto handler 'filenameViewController'
[INFO ] 2019-12-09 09:33:13,514 [main] FrameworkServlet 'rdf4j-http-server': initialization completed in 3044 ms
[INFO ] 2019-12-09 09:38:36,483 [http-nio-8080-exec-1] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:38:47,921 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 09:38:47,921 [repositories/fam3] POST query -940484095
[INFO ] 2019-12-09 09:38:47,921 [repositories/fam3] POST query -9669974
[INFO ] 2019-12-09 09:38:48,002 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:38:48,500 [repositories/fam3] Request for query -9669974 is finished
[INFO ] 2019-12-09 09:38:48,539 [repositories/fam3] Request for query -940484095 is finished
[INFO ] 2019-12-09 09:39:29,351 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 09:39:29,359 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:39:36,468 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 09:39:36,484 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:39:51,271 [http-nio-8080-exec-9] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:44:16,426 [http-nio-8080-exec-1] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:44:17,029 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 09:44:17,035 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:50:06,704 [http-nio-8080-exec-2] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:50:07,155 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 09:50:07,158 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:50:22,727 [http-nio-8080-exec-6] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:50:23,207 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 09:50:23,210 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:56:28,121 [http-nio-8080-exec-9] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:56:28,552 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 09:56:28,555 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:56:39,391 [http-nio-8080-exec-1] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:56:39,824 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 09:56:39,826 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:56:46,107 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 09:56:46,109 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:56:48,343 [http-nio-8080-exec-2] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:56:48,796 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 09:56:48,798 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:59:07,603 [http-nio-8080-exec-7] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:59:07,986 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 09:59:07,988 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:59:39,441 [http-nio-8080-exec-10] Request for query 3392903 is finished
[INFO ] 2019-12-09 09:59:39,909 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 09:59:39,911 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 10:32:04,447 [http-nio-8080-exec-5] Request for query 3392903 is finished
[INFO ] 2019-12-09 10:33:01,093 [http-nio-8080-exec-4] Request for query 3392903 is finished
[INFO ] 2019-12-09 10:33:02,151 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 10:33:02,153 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 11:10:14,860 [http-nio-8080-exec-8] Request for query 3392903 is finished
[INFO ] 2019-12-09 11:10:15,466 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 11:10:15,472 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 11:10:27,468 [http-nio-8080-exec-10] Request for query 3392903 is finished
[INFO ] 2019-12-09 11:10:27,947 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 11:10:27,949 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:02:56,769 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 12:02:56,773 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:03:15,903 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 12:03:15,905 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:03:41,946 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 12:03:41,949 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:04:17,880 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 12:04:17,881 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:04:32,841 [http-nio-8080-exec-7] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:04:33,452 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 12:04:33,461 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:04:45,981 [http-nio-8080-exec-9] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:04:46,448 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 12:04:46,450 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:04:54,906 [http-nio-8080-exec-1] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:04:55,385 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 12:04:55,389 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:05:12,763 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 12:05:12,765 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:05:55,761 [http-nio-8080-exec-4] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:05:56,267 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 12:05:56,278 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:05:59,278 [http-nio-8080-exec-7] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:05:59,855 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 12:05:59,859 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:07:04,895 [http-nio-8080-exec-10] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:07:05,670 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 12:07:05,676 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:12:37,767 [http-nio-8080-exec-5] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:12:38,394 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 12:12:38,398 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:13:28,008 [repositories/fam3] POST query 1044088069
[INFO ] 2019-12-09 12:13:29,416 [repositories/fam3] Request for query 1044088069 is finished
[INFO ] 2019-12-09 12:21:24,284 [http-nio-8080-exec-7] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:21:24,980 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 12:21:24,983 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:24:53,168 [http-nio-8080-exec-10] Request for query 3392903 is finished
[INFO ] 2019-12-09 12:24:53,543 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 12:24:53,544 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 13:01:49,558 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 13:01:49,562 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 13:02:03,980 [http-nio-8080-exec-2] Request for query 3392903 is finished
[INFO ] 2019-12-09 13:02:04,484 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 13:02:04,486 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 13:02:30,004 [http-nio-8080-exec-7] Request for query 3392903 is finished
[WARN ] 2019-12-09 13:02:32,144 [repositories/fam] Removing invalid lock 58@PC-AJ9Q91T0-KIKO
[INFO ] 2019-12-09 13:02:32,203 [repositories/fam] GET namespace list
[INFO ] 2019-12-09 13:02:32,205 [repositories/fam] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:24:40,811 [repositories/fam] GET namespace list
[INFO ] 2019-12-09 14:24:40,812 [repositories/fam] POST query -940484095
[INFO ] 2019-12-09 14:24:40,812 [repositories/fam] POST query -9669974
[INFO ] 2019-12-09 14:24:40,837 [repositories/fam] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:24:42,908 [repositories/fam] Request for query -940484095 is finished
[INFO ] 2019-12-09 14:24:42,910 [repositories/fam] Request for query -9669974 is finished
[INFO ] 2019-12-09 14:24:48,850 [repositories/fam3] GET statements
[INFO ] 2019-12-09 14:25:22,764 [repositories/fam3] GET statements
[INFO ] 2019-12-09 14:25:29,105 [repositories/fam3] GET statements
[INFO ] 2019-12-09 14:31:10,914 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 14:31:10,916 [repositories/fam3] POST query -940484095
[INFO ] 2019-12-09 14:31:10,917 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:31:10,919 [repositories/fam3] POST query -9669974
[INFO ] 2019-12-09 14:31:10,926 [repositories/fam3] Request for query -9669974 is finished
[INFO ] 2019-12-09 14:31:10,929 [repositories/fam3] Request for query -940484095 is finished
[INFO ] 2019-12-09 14:31:11,415 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 14:31:11,417 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:38:10,276 [http-nio-8080-exec-5] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:38:10,623 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 14:38:10,626 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:38:23,576 [http-nio-8080-exec-2] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:38:24,101 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 14:38:24,103 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:46:54,198 [http-nio-8080-exec-8] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:46:54,794 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 14:46:54,798 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:48:03,669 [http-nio-8080-exec-9] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:48:04,229 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 14:48:04,234 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:52:23,324 [http-nio-8080-exec-3] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:52:23,988 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 14:52:23,990 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:55:15,546 [http-nio-8080-exec-6] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:55:16,227 [repositories/fam] GET namespace list
[INFO ] 2019-12-09 14:55:16,233 [repositories/fam] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:55:22,878 [http-nio-8080-exec-10] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:55:23,556 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 14:55:23,639 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:55:41,804 [http-nio-8080-exec-9] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:55:42,536 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 14:55:42,542 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:57:27,613 [http-nio-8080-exec-3] Request for query 3392903 is finished
[INFO ] 2019-12-09 14:57:28,324 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 14:57:28,330 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:18:41,769 [http-nio-8080-exec-6] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:18:42,730 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 16:18:42,743 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:19:08,607 [repositories/fam3] POST query -940484095
[INFO ] 2019-12-09 16:19:08,651 [repositories/fam3] Request for query -940484095 is finished
[INFO ] 2019-12-09 16:19:08,687 [repositories/fam3] POST query -9669974
[INFO ] 2019-12-09 16:19:08,688 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 16:19:08,694 [repositories/fam3] Request for query -9669974 is finished
[INFO ] 2019-12-09 16:19:08,694 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:19:11,261 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 16:19:11,266 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:19:59,746 [http-nio-8080-exec-2] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:20:00,773 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 16:20:00,775 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:20:10,988 [http-nio-8080-exec-6] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:20:12,041 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 16:20:12,045 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:20:29,158 [http-nio-8080-exec-10] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:20:29,927 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 16:20:29,930 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:23:22,838 [http-nio-8080-exec-5] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:23:23,687 [repositories/fam] GET namespace list
[INFO ] 2019-12-09 16:23:23,691 [repositories/fam] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:23:32,697 [http-nio-8080-exec-3] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:23:33,692 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 16:23:33,694 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:23:45,257 [http-nio-8080-exec-4] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:23:46,064 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 16:23:46,066 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:23:56,900 [http-nio-8080-exec-8] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:23:57,876 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 16:23:57,881 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:24:07,454 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 16:24:07,455 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:24:17,321 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 16:24:17,323 [repositories/fam3] POST query -9669974
[INFO ] 2019-12-09 16:24:17,324 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:24:17,325 [repositories/fam3] POST query -940484095
[INFO ] 2019-12-09 16:24:17,339 [repositories/fam3] Request for query -9669974 is finished
[INFO ] 2019-12-09 16:24:17,353 [repositories/fam3] Request for query -940484095 is finished
[INFO ] 2019-12-09 16:24:18,250 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 16:24:18,257 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:24:22,170 [http-nio-8080-exec-6] Request for query 3392903 is finished
[INFO ] 2019-12-09 16:24:23,011 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 16:24:23,013 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 17:03:23,920 [http-nio-8080-exec-7] Request for query 3392903 is finished
[INFO ] 2019-12-09 17:03:24,284 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 17:03:24,286 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 17:12:09,165 [http-nio-8080-exec-5] Request for query 3392903 is finished
[INFO ] 2019-12-09 17:12:09,783 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 17:12:09,785 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 17:13:07,756 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 17:13:07,758 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 17:13:07,762 [repositories/fam3] POST query -9669974
[INFO ] 2019-12-09 17:13:07,764 [repositories/fam3] POST query -940484095
[INFO ] 2019-12-09 17:13:07,770 [repositories/fam3] Request for query -940484095 is finished
[INFO ] 2019-12-09 17:13:07,772 [repositories/fam3] Request for query -9669974 is finished
[INFO ] 2019-12-09 17:13:09,178 [repositories/fam3] GET namespace list
[INFO ] 2019-12-09 17:13:09,180 [repositories/fam3] Request for query 3392903 is finished
[INFO ] 2019-12-09 17:13:20,219 [http-nio-8080-exec-9] Request for query 3392903 is finished
[INFO ] 2019-12-09 17:13:20,881 [repositories/fam] GET namespace list
[INFO ] 2019-12-09 17:13:20,883 [repositories/fam] Request for query 3392903 is finished
[INFO ] 2019-12-09 19:23:01,002 [main] Closing WebApplicationContext for namespace 'rdf4j-http-server-servlet': startup date [Mon Dec 09 09:33:10 WET 2019]; root of context hierarchy
